Date,Open,High,Low,Close,Adj Close,Volume,SMA20,SMA30,SMA50,SMA100,signal,OpenInterest
2024-02-15,1993.5999755859373,2007.199951171875,1993.5999755859373,2002.0999755859373,2002.0999755859373,286,2023.309991455078,2024.4599934895834,,,0,0.0
2024-02-16,2005.0,2011.5,1996.5,2011.5,2011.5,32,2022.559991455078,2023.4333251953126,,,0,0.0
2024-02-20,2015.5999755859373,2029.0,2015.5999755859373,2027.5,2027.5,1326,2022.9449890136718,2022.9366577148437,,,0,0.0
2024-02-21,2028.199951171875,2028.199951171875,2022.300048828125,2022.300048828125,2022.300048828125,15,2022.8749938964843,2022.7933268229167,,,0,0.0
2024-02-22,2033.199951171875,2033.199951171875,2019.699951171875,2019.699951171875,2019.699951171875,964,2023.164990234375,2022.5699910481771,,,0,0.0
2024-02-23,2026.0,2038.5999755859373,2014.9000244140625,2038.5999755859373,2038.5999755859373,22,2024.2499877929688,2023.1333251953124,,,0,0.0
2024-02-26,2034.0999755859373,2035.4000244140625,2024.800048828125,2028.5,2028.5,143,2024.8349853515624,2023.6066569010416,,,0,0.0
2024-02-27,2035.9000244140625,2035.9000244140625,2034.0,2034.0,2034.0,964,2025.2749877929687,2023.1833251953126,,,0,0.0
2024-02-28,2029.5,2037.0,2024.800048828125,2033.0,2033.0,581,2025.3499877929687,2023.416658528646,,,0,0.0
2024-02-29,2034.300048828125,2049.800048828125,2034.300048828125,2045.699951171875,2045.699951171875,706,2025.214990234375,2024.8533243815104,,,0,0.0
2024-03-01,2043.0999755859373,2086.89990234375,2041.800048828125,2086.89990234375,2086.89990234375,1210,2026.9099853515625,2027.129988606771,,,0,0.0
2024-03-04,2083.60009765625,2119.800048828125,2080.699951171875,2117.699951171875,2117.699951171875,805,2030.9899841308593,2030.1699869791667,,,0,0.0
2024-03-05,2114.89990234375,2133.5,2111.39990234375,2133.5,2133.5,1287,2036.3799865722656,2033.9599853515624,,,0,0.0
2024-03-06,2125.5,2150.300048828125,2125.5,2150.300048828125,2150.300048828125,443,2042.169989013672,2038.1799886067708,,,0,0.0
2024-03-07,2147.0,2163.0,2147.0,2158.0,2158.0,152,2048.309991455078,2042.9833211263021,,,0,0.0
2024-03-08,2167.300048828125,2194.89990234375,2166.300048828125,2178.60009765625,2178.60009765625,259,2055.629998779297,2048.373323567708,,,0,0.0
2024-03-11,2181.0,2184.0,2177.199951171875,2182.5,2182.5,738,2063.5899963378906,2053.8966552734373,,,0,0.0
2024-03-12,2182.5,2182.699951171875,2160.39990234375,2160.39990234375,2160.39990234375,550,2070.6999938964846,2058.4033203125,,,0,0.0
2024-03-13,2162.5,2175.39990234375,2162.5,2175.39990234375,2175.39990234375,20,2079.824987792969,2063.199983723958,2048.7299877929686,,1,1.0
2024-03-14,2163.0,2163.0,2162.300048828125,2163.0,2163.0,515,2088.4599853515624,2067.019986979167,2050.7019897460937,,1,0.0
2024-03-15,2161.699951171875,2161.699951171875,2157.300048828125,2157.300048828125,2157.300048828125,100,2096.2199890136717,2070.4966552734377,2053.163991699219,,1,0.0
2024-03-18,2146.199951171875,2160.699951171875,2146.199951171875,2160.699951171875,2160.699951171875,21,2103.6799865722655,2074.6499877929687,2055.5319897460936,,1,0.0
2024-03-19,2156.10009765625,2156.300048828125,2156.10009765625,2156.300048828125,2156.300048828125,12,2110.119989013672,2079.0033243815105,2057.809990234375,,1,0.0
2024-03-20,2157.300048828125,2185.89990234375,2150.89990234375,2157.89990234375,2157.89990234375,17,2116.899981689453,2083.1166544596354,2060.4359887695314,,1,0.0
2024-03-21,2207.0,2211.60009765625,2182.39990234375,2182.39990234375,2182.39990234375,63,2125.034979248047,2088.023319498698,2063.555986328125,,1,0.0
2024-03-22,2179.199951171875,2179.60009765625,2157.5,2158.10009765625,2158.10009765625,19,2131.0099853515626,2092.2199910481772,2066.2839892578127,,1,0.0
2024-03-25,2166.199951171875,2179.39990234375,2166.199951171875,2174.800048828125,2174.800048828125,79,2138.324987792969,2097.269991048177,2069.4939892578127,,1,0.0
2024-03-26,2182.699951171875,2182.699951171875,2175.60009765625,2175.60009765625,2175.60009765625,202373,2145.404992675781,2102.5166625976562,2072.0719921875,,1,0.0
2024-03-27,2179.39990234375,2196.199951171875,2172.10009765625,2190.60009765625,2190.60009765625,31200,2153.2849975585937,2109.1066650390626,2075.363994140625,,1,0.0
2024-03-28,2193.60009765625,2234.10009765625,2187.10009765625,2217.39990234375,2217.39990234375,2040,2161.8699951171875,2116.67666015625,2079.6599926757813,,1,0.0
2024-04-01,2235.699951171875,2264.199951171875,2230.0,2236.5,2236.5,400,2169.35,2124.4899943033856,2084.0179931640623,,1,0.0
2024-04-02,2252.0,2279.199951171875,2247.60009765625,2261.0,2261.0,435,2176.515002441406,2132.8066609700522,2088.7079931640624,,1,0.0
2024-04-03,2281.699951171875,2298.800048828125,2267.89990234375,2294.39990234375,2294.39990234375,285,2184.5599975585938,2141.7033243815104,2094.199990234375,,1,0.0
2024-04-04,2301.699951171875,2302.89990234375,2280.0,2288.800048828125,2288.800048828125,251,2191.484997558594,2150.5866577148436,2099.5019921875,,1,0.0
2024-04-05,2289.199951171875,2328.39990234375,2267.39990234375,2325.699951171875,2325.699951171875,344,2199.8699951171875,2160.786657714844,2105.7379907226564,,1,0.0
2024-04-08,2325.60009765625,2341.800048828125,2319.0,2331.699951171875,2331.699951171875,202,2207.5249877929687,2170.5566569010416,2112.0339892578127,,1,0.0
2024-04-09,2337.800048828125,2364.699951171875,2337.800048828125,2343.5,2343.5,211,2215.574987792969,2181.0566569010416,2118.56798828125,,1,0.0
2024-04-10,2346.60009765625,2358.10009765625,2327.699951171875,2329.60009765625,2329.60009765625,377,2224.0349975585937,2190.9099934895835,2124.6559912109374,,1,0.0
2024-04-11,2341.5,2376.300048828125,2330.60009765625,2354.800048828125,2354.800048828125,283,2233.0050048828125,2201.6366617838544,2131.1219921875,,1,0.0
2024-04-12,2377.300048828125,2429.0,2334.300048828125,2356.199951171875,2356.199951171875,584,2242.665002441406,2211.9866617838543,2137.2779931640625,,1,0.0
2024-04-15,2362.10009765625,2384.699951171875,2326.0,2365.800048828125,2365.800048828125,1801,2253.0900024414063,2221.2833333333333,2143.533994140625,,1,0.0
2024-04-16,2384.0,2390.800048828125,2371.39990234375,2390.800048828125,2390.800048828125,41,2264.595007324219,2230.386669921875,2150.6279956054686,,1,0.0
2024-04-17,2384.199951171875,2391.39990234375,2369.300048828125,2371.699951171875,2371.699951171875,37,2275.3650024414064,2238.326668294271,2157.5479956054687,,1,0.0
2024-04-18,2368.39990234375,2384.39990234375,2368.39990234375,2382.300048828125,2382.300048828125,128,2286.585009765625,2246.0600016276044,2164.503996582031,,1,0.0
2024-04-19,2379.300048828125,2399.800048828125,2377.300048828125,2398.39990234375,2398.39990234375,160,2297.385009765625,2254.0733317057293,2171.767995605469,,1,0.0
2024-04-22,2383.300048828125,2383.300048828125,2326.89990234375,2332.199951171875,2332.199951171875,53,2306.0900024414063,2259.193326822917,2177.767995605469,,1,0.0
2024-04-23,2327.699951171875,2330.800048828125,2294.199951171875,2327.699951171875,2327.699951171875,171,2313.734997558594,2264.0333251953125,2183.855993652344,,1,0.0
2024-04-24,2321.300048828125,2328.699951171875,2314.60009765625,2324.5,2324.5,95,2321.1799926757812,2269.5033284505207,2189.9819946289062,,1,0.0
2024-04-25,2315.0,2329.800048828125,2305.0,2329.800048828125,2329.800048828125,1024,2328.139990234375,2274.65,2196.7199951171874,,1,0.0
2024-04-26,2347.89990234375,2347.89990234375,2332.800048828125,2334.800048828125,2334.800048828125,717,2334.0099975585936,2280.376668294271,2203.6099951171873,,1,0.0
2024-04-29,2334.800048828125,2345.5,2327.89990234375,2345.39990234375,2345.39990234375,405,2339.4549926757813,2286.646663411458,2210.4759936523437,,1,0.0
2024-04-30,2322.5,2322.5,2291.39990234375,2291.39990234375,2291.39990234375,113,2340.974987792969,2291.0033284505207,2216.073991699219,,1,0.0
2024-05-01,2287.699951171875,2327.300048828125,2283.800048828125,2299.89990234375,2299.89990234375,42,2341.2499877929686,2295.789990234375,2221.521989746094,,1,0.0
2024-05-02,2321.699951171875,2324.699951171875,2292.300048828125,2299.199951171875,2299.199951171875,56,2341.769982910156,2300.499991861979,2227.059987792969,,1,0.0
2024-05-03,2300.0,2301.0,2277.60009765625,2299.0,2299.0,194,2340.4349853515623,2304.3866617838544,2232.6459887695314,,1,0.0
2024-05-06,2322.800048828125,2325.5,2314.199951171875,2321.60009765625,2321.60009765625,9,2339.9299926757812,2309.836661783854,2238.3059912109375,,1,0.0
2024-05-07,2324.300048828125,2324.300048828125,2315.199951171875,2315.199951171875,2315.199951171875,25,2338.514990234375,2314.5166585286456,2244.039990234375,,1,0.0
